"Dataset","Network","Module","Mod_Def","Percent"
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.271_minSize15_merge_ME_0.85_42548","plum1","Seed",11.5384615384615
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.271_minSize20_merge_ME_0.85_42548","darkmagenta","Seed",11.5384615384615
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.301_minSize10_merge_ME_0.85_42548","skyblue3","Seed",11.5384615384615
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.301_minSize12_merge_ME_0.85_42548","skyblue3","Seed",11.5384615384615
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.301_minSize15_merge_ME_0.85_42548","steelblue","Seed",11.5384615384615
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.301_minSize20_merge_ME_0.85_42548","saddlebrown","Seed",11.5384615384615
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize10_merge_ME_0.85_42548","cyan","Seed",11.5384615384615
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize8_merge_ME_0.85_42548","darkred","Seed",11.5384615384615
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.309_minSize8_merge_ME_0.85_24326","darkkhaki","Seed",11.1111111111111
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize8_merge_ME_0.85_24326","violetred","Seed",11.1111111111111
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.36_minSize8_merge_ME_0.85_24326","paleturquoise1","Seed",11.1111111111111
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.376_minSize8_merge_ME_0.85_23987","turquoise2","Seed",11.1111111111111
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.403_minSize8_merge_ME_0.85_23987","navajowhite4","Seed",11.1111111111111
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize8_merge_ME_0.85_23987","palevioletred","Seed",11.1111111111111
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.481_minSize8_merge_ME_0.85_23987","palevioletred1","Seed",11.1111111111111
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.495_minSize8_merge_ME_0.85_42548","orange4","Seed",11.1111111111111
"Freije 2004 GSE4412 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.303_minSize8_merge_ME_0.85_18621","wheat3","Seed",11.1111111111111
"French 2007 GSE9385 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.409_minSize8_merge_ME_0.85_22011","blue1","Seed",11.1111111111111
"Gabrusiewicz 2016 GSE77530 EXT OR QN A.1.1.1","Bicor-None_signum0.453_minSize8_merge_ME_0.85_15607","whitesmoke","Seed",11.1111111111111
"Gabrusiewicz 2016 GSE77530 EXT OR QN A.1.1.1","Bicor-None_signum0.479_minSize8_merge_ME_0.85_15607","darkolivegreen1","Seed",11.1111111111111
"Gabrusiewicz 2016 GSE77530 EXT OR QN A.1.1.1","Bicor-None_signum0.51_minSize8_merge_ME_0.85_15607","tan4","Seed",11.1111111111111
"Gabrusiewicz 2016 GSE77530 EXT OR QN A.1.1.1","Bicor-None_signum0.549_minSize8_merge_ME_0.85_15607","lightcoral","Seed",11.1111111111111
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize8_merge_ME_0.85_18621","mediumorchid3","Seed",11.1111111111111
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize8_merge_ME_0.85_18621","tan1","Seed",11.1111111111111
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize8_merge_ME_0.85_18621","lightblue2","Seed",11.1111111111111
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize8_merge_ME_0.85_18621","paleturquoise4","Seed",11.1111111111111
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.401_minSize8_merge_ME_0.85_18621","mistyrose","Seed",11.1111111111111
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.335_minSize8_merge_ME_0.85_42548","bisque1","Seed",11.1111111111111
"Grzmil 2011 GSE15824 RDP Tumor OR QN A.1.2.1","Bicor-None_signum0.675_minSize8_merge_ME_0.85_42548","lightyellow","Seed",11.1111111111111
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.411_minSize8_merge_ME_0.85_17418","firebrick","Seed",11.1111111111111
"IvyGAP 2017 GSE107559 EXT Tumor OR A.1.2.2","Bicor-None_signum0.436_minSize8_merge_ME_0.85_17418","royalblue3","Seed",11.1111111111111
"Jungk 2016 GSE83537 EXT OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.343_minSize8_merge_ME_0.85_43960","cyan4","Seed",11.1111111111111
"Jungk 2016 GSE83537 EXT OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.343_minSize8_merge_ME_0.85_43960","khaki2","Seed",11.1111111111111
"Jungk 2016 GSE83537 EXT OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.374_minSize8_merge_ME_0.85_43960","cornsilk2","Seed",11.1111111111111
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.293_minSize10_merge_ME_0.85_42548","lavenderblush3","Seed",11.1111111111111
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.293_minSize12_merge_ME_0.85_42548","lavenderblush3","Seed",11.1111111111111
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.293_minSize15_merge_ME_0.85_42548","navajowhite2","Seed",11.1111111111111
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.473_minSize8_merge_ME_0.85_42548","lavenderblush","Seed",11.1111111111111
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.443_minSize8_merge_ME_0.85_43960","darkseagreen","Seed",11.1111111111111
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.515_minSize8_merge_ME_0.85_42548","violet","Seed",11.1111111111111
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.343_minSize8_merge_ME_0.85_22215","rosybrown3","Seed",11.1111111111111
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.365_minSize8_merge_ME_0.85_22215","red1","Seed",11.1111111111111
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.392_minSize8_merge_ME_0.85_22215","darkseagreen1","Seed",11.1111111111111
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.428_minSize10_merge_ME_0.85_22215","saddlebrown","Seed",11.1111111111111
"Petalidis 2008 GSE1993 EXT OR QN A.1.1.1","Bicor-None_signum0.428_minSize8_merge_ME_0.85_22215","saddlebrown","Seed",11.1111111111111
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.27_minSize8_merge_ME_0.85_18621","lemonchiffon4","Seed",11.1111111111111
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.289_minSize8_merge_ME_0.85_18621","lightskyblue1","Seed",11.1111111111111
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize8_merge_ME_0.85_18621","sienna","Seed",11.1111111111111
"Sun 2006 GSE4290 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.364_minSize8_merge_ME_0.85_42548","mediumorchid2","Seed",11.1111111111111
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize8_merge_ME_0.85_18621","burlywood4","Seed",11.1111111111111
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize8_merge_ME_0.85_18621","peachpuff3","Seed",11.1111111111111
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize8_merge_ME_0.85_18621","limegreen","Seed",11.1111111111111
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.284_minSize8_merge_ME_0.85_18621","darkseagreen","Seed",11.1111111111111
"TCGA GBM Agilent 01 (Gene Level) EXT OR BC D.2.1.1","Bicor-None_signum0.707_minSize8_merge_ME_0.85_17814","bisque4","Seed",11.1111111111111
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.347_minSize8_merge_ME_0.85_27357","red3","Seed",11.1111111111111
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.385_minSize8_merge_ME_0.85_27357","lightskyblue","Seed",11.1111111111111
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.445_minSize8_merge_ME_0.85_27357","chocolate3","Seed",11.1111111111111
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.36_minSize8_merge_ME_0.85_21860","hotpink3","Seed",11.1111111111111
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.382_minSize8_merge_ME_0.85_21860","green1","Seed",11.1111111111111
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.41_minSize8_merge_ME_0.85_21860","whitesmoke","Seed",11.1111111111111
"Tso 2006 GSE5107 EXT OR QN A.1.1.1","Bicor-None_signum0.446_minSize8_merge_ME_0.85_21860","lightpink2","Seed",11.1111111111111
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.32_minSize8_merge_ME_0.85_18621","lightgoldenrodyellow","Seed",11.1111111111111
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.34_minSize8_merge_ME_0.85_18621","darkseagreen","Seed",11.1111111111111
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.366_minSize8_merge_ME_0.85_18621","cornflowerblue","Seed",11.1111111111111
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize8_merge_ME_0.85_42548","brown3","Seed",11.1111111111111
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.483_minSize8_merge_ME_0.85_42548","mistyrose4","Seed",11.1111111111111
"Yu 2016 GSE74187 EXT OR BC A.1.1.1","Bicor-None_signum0.565_minSize8_merge_ME_0.85_19000","lightpink4","Seed",11.1111111111111
"Trabzuni 2013 GSE46706 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.443_minSize8_merge_ME_0.85_22011","magenta3","Seed",11.1111111111111
"Trabzuni 2013 GSE46706 RDP OR QN BC OR A.1.1.1.1.1","Bicor-None_signum0.443_minSize8_merge_ME_0.85_22011","pink3","Seed",11.1111111111111
"CGGA RNA Microarray EXT OR A.1.1","Bicor-None_signum0.46_minSize10_merge_ME_0.85_29421","pink1","Seed",10
"CGGA RNA Microarray EXT OR A.1.1","Bicor-None_signum0.515_minSize10_merge_ME_0.85_29421","orangered1","Seed",10
"CGGA RNA Microarray EXT OR A.1.1","Bicor-None_signum0.515_minSize8_merge_ME_0.85_29421","orangered1","Seed",10
"CPTAC RNA-seq EXT Tumor OR QN OR A.1.1.2.1.1","Bicor-None_signum0.304_minSize10_merge_ME_0.85_26167","violetred","Seed",10
"CPTAC RNA-seq EXT Tumor OR QN OR A.1.1.2.1.1","Bicor-None_signum0.325_minSize10_merge_ME_0.85_26167","cyan4","Seed",10
"CPTAC RNA-seq EXT Tumor OR QN OR A.1.1.2.1.1","Bicor-None_signum0.351_minSize10_merge_ME_0.85_26167","mediumorchid2","Seed",10
"CPTAC RNA-seq EXT Tumor OR QN OR A.1.1.2.1.1","Bicor-None_signum0.386_minSize10_merge_ME_0.85_26167","slateblue1","Seed",10
"CPTAC RNA-seq EXT Tumor OR QN OR A.1.1.2.1.1","Bicor-None_signum0.386_minSize8_merge_ME_0.85_26167","slateblue1","Seed",10
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.348_minSize10_merge_ME_0.85_42548","springgreen3","Seed",10
"Erdem-Eraslan 2012 GSE43388 U133Plus2 RDP OR QN BC B.1.1.1.1","Bicor-None_signum0.371_minSize10_merge_ME_0.85_42548","olivedrab3","Seed",10
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize10_merge_ME_0.85_18621","salmon1","Seed",10
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.354_minSize8_merge_ME_0.85_18621","palevioletred1","Seed",10
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize10_merge_ME_0.85_18621","coral","Seed",10
"Garcia 2012 GSE24072 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.375_minSize8_merge_ME_0.85_18621","antiquewhite2","Seed",10
"Gleize 2015 E-MTAB-2358 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.438_minSize10_merge_ME_0.85_42548","burlywood3","Seed",10
"Joy 2014 GSE61335 U133A RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.37_minSize10_merge_ME_0.85_18621","blue4","Seed",10
"Joy 2014 GSE61335 U133A RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.37_minSize8_merge_ME_0.85_18621","deeppink","Seed",10
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.266_minSize10_merge_ME_0.85_42548","seagreen","Seed",10
"Kamoun 2016 E-MTAB-3892 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.293_minSize10_merge_ME_0.85_42548","cyan2","Seed",10
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.328_minSize10_merge_ME_0.85_43960","red3","Seed",10
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.353_minSize10_merge_ME_0.85_43960","lightseagreen","Seed",10
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.443_minSize10_merge_ME_0.85_43960","chocolate3","Seed",10
"Kwon 2015 GSE62153 EXT QN OR BC A.1.1.1","Bicor-None_signum0.443_minSize8_merge_ME_0.85_43960","chocolate3","Seed",10
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.245_minSize10_merge_ME_0.85_42548","lightcyan3","Seed",10
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.262_minSize10_merge_ME_0.85_42548","maroon3","Seed",10
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.283_minSize10_merge_ME_0.85_42548","orchid","Seed",10
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize10_merge_ME_0.85_42548","limegreen","Seed",10
"Murat 2008 GSE7696 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.312_minSize8_merge_ME_0.85_42548","limegreen","Seed",10
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.348_minSize10_merge_ME_0.85_18621","lightslateblue","Seed",10
"Phillips 2006 GSE4271 U133A RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.348_minSize8_merge_ME_0.85_18621","lightslateblue","Seed",10
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.341_minSize10_merge_ME_0.85_42548","slateblue3","Seed",10
"REMBRANDT 2018 GSE108474 RDP Tumor OR QN BC OR BC A.1.2.1.1.1.1","Bicor-None_signum0.341_minSize8_merge_ME_0.85_42548","chocolate1","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.251_minSize10_merge_ME_0.85_43946","darkorange3","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.251_minSize10_merge_ME_0.85_43946","honeydew4","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.251_minSize10_merge_ME_0.85_43946","lemonchiffon","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.271_minSize10_merge_ME_0.85_43946","deepskyblue2","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.271_minSize10_merge_ME_0.85_43946","hotpink","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.271_minSize10_merge_ME_0.85_43946","ivory3","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.297_minSize10_merge_ME_0.85_43946","cyan3","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.297_minSize10_merge_ME_0.85_43946","darkorchid","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize10_merge_ME_0.85_43946","darkorchid3","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.337_minSize10_merge_ME_0.85_43946","royalblue4","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize10_merge_ME_0.85_43946","dodgerblue3","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize10_merge_ME_0.85_43946","slateblue2","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize8_merge_ME_0.85_43946","chocolate2","Seed",10
"Sottoriva 2013 E-MTAB-1129 EXT OR QN A.1.1.1","Bicor-None_signum0.406_minSize8_merge_ME_0.85_43946","orange2","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize10_merge_ME_0.85_18621","violetred4","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.207_minSize8_merge_ME_0.85_18621","violetred4","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize10_merge_ME_0.85_18621","slateblue3","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.226_minSize8_merge_ME_0.85_18621","slateblue3","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize10_merge_ME_0.85_18621","mistyrose4","Seed",10
"TCGA GBM Affymetrix RDP Tumor OR QN BC OR BC OR B.1.2.1.1.1.1.1","Bicor-None_signum0.251_minSize8_merge_ME_0.85_18621","mistyrose4","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize10_merge_ME_0.85_27357","darkcyan","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize10_merge_ME_0.85_27357","lightsalmon4","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.296_minSize10_merge_ME_0.85_27357","springgreen2","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.319_minSize10_merge_ME_0.85_27357","chartreuse3","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.445_minSize10_merge_ME_0.85_27357","firebrick3","Seed",10
"TCGA LGG RNA-seq EXT OR QN BC A.1.1.1.1.1","Bicor-None_signum0.445_minSize8_merge_ME_0.85_27357","blue4","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.32_minSize10_merge_ME_0.85_18621","blue1","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.32_minSize8_merge_ME_0.85_18621","blue1","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.34_minSize10_merge_ME_0.85_18621","lavenderblush","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.34_minSize8_merge_ME_0.85_18621","palevioletred","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.366_minSize10_merge_ME_0.85_18621","slateblue","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.366_minSize8_merge_ME_0.85_18621","yellow2","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.401_minSize10_merge_ME_0.85_18621","coral","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.401_minSize8_merge_ME_0.85_18621","antiquewhite2","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.456_minSize10_merge_ME_0.85_18621","brown4","Seed",10
"Turcan 2012 GSE30336 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.456_minSize8_merge_ME_0.85_18621","brown4","Seed",10
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.37_minSize10_merge_ME_0.85_42548","ivory2","Seed",10
"Vital 2010 GSE43289 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.396_minSize10_merge_ME_0.85_42548","violetred","Seed",10
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.413_minSize10_merge_ME_0.85_42548","aliceblue","Seed",10
"Weller 2015 GSE61374 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.413_minSize8_merge_ME_0.85_42548","green3","Seed",10
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.285_minSize10_merge_ME_0.85_42548","rosybrown1","Seed",10
"Berchtold 2008 GSE11882 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.314_minSize10_merge_ME_0.85_42548","hotpink4","Seed",10
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.324_minSize10_merge_ME_0.85_42548","bisque4","Seed",9.52380952380952
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.324_minSize12_merge_ME_0.85_42548","floralwhite","Seed",9.52380952380952
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.324_minSize15_merge_ME_0.85_42548","lightcyan1","Seed",9.52380952380952
"Kawaguchi 2013 GSE43378 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.324_minSize20_merge_ME_0.85_42548","plum1","Seed",9.52380952380952
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize10_merge_ME_0.85_23987","coral","Seed",9.09090909090909
"CGGA RNA-seq 693 EXT OR QN C.1.1.1","Bicor-None_signum0.437_minSize8_merge_ME_0.85_23987","orangered1","Seed",9.09090909090909
"Donson 2012 GSE33331 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.448_minSize10_merge_ME_0.85_42548","indianred1","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.284_minSize10_merge_ME_0.85_42548","chartreuse4","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.284_minSize10_merge_ME_0.85_42548","cyan1","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.302_minSize10_merge_ME_0.85_42548","cyan1","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.302_minSize10_merge_ME_0.85_42548","mediumorchid2","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.325_minSize10_merge_ME_0.85_42548","paleturquoise4","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.325_minSize10_merge_ME_0.85_42548","pink1","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize10_merge_ME_0.85_42548","chocolate4","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize10_merge_ME_0.85_42548","lightskyblue4","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize8_merge_ME_0.85_42548","antiquewhite1","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.356_minSize8_merge_ME_0.85_42548","lightblue3","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize10_merge_ME_0.85_42548","brown2","Seed",9.09090909090909
"Ducray 2010 E-TABM-898 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.405_minSize8_merge_ME_0.85_42548","plum3","Seed",9.09090909090909
"Feng 2017 GSE83300 EXT QN OR A.1.1","Bicor-None_signum0.475_minSize10_merge_ME_0.85_30936","chocolate4","Seed",9.09090909090909
"Feng 2017 GSE83300 EXT QN OR A.1.1","Bicor-None_signum0.509_minSize10_merge_ME_0.85_30936","pink4","Seed",9.09090909090909
"French 2007 GSE9385 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.409_minSize10_merge_ME_0.85_22011","darkviolet","Seed",9.09090909090909
"French 2007 GSE9385 RDP Tumor OR QN BC A.1.2.1.1","Bicor-None_signum0.409_minSize8_merge_ME_0.85_22011","thistle","Seed",9.09090909090909
"Gleize 2015 E-MTAB-2358 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.438_minSize10_merge_ME_0.85_42548","darkseagreen","Seed",9.09090909090909
"Gleize 2015 E-MTAB-2358 RDP OR QN BC A.1.1.1.1","Bicor-None_signum0.47_minSize10_merge_ME_0.85_42548","salmon1","Seed",9.09090909090909
"Gravendeel 2009 GSE16011 RDP Tumor OR QN BC A.1.3.1.1","Bicor-None_signum0.243_minSize10_merge_ME_0.85_42548","cadetblue1","Seed",9.09090909090909
