"Dataset","Network","Mod_Def","SetID","Module","Min_Pval","SetName"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7684","turquoise","0.000210144779723982","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7685","mediumpurple4","0.00027773895658788","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7686","green","0.00162438990462273","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7687","magenta","0.0145778127106135","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7688","darkorange2","0.00162755268747997","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7689","pink2","0.000384614986314675","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7690","black","0.000569847715940179","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7691","brown","0.00129623009747058","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7692","lavenderblush2","0.0200452298010556","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7693","lavenderblush2","0.00153825229902449","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7694","mediumpurple2","0.00193178006071362","LUO_2019_EXC_L6_TLE4_SCUBE1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7695","lightpink2","0.000664343310839371","LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7696","mistyrose3","0.000462012344726432","LUO_2019_EXC_L6_TSHZ2_CALN1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7697","magenta","0.000500898123440611","LUO_2019_EXC_L6_TSHZ2_TCF12_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7698","magenta","0.00296189960220185","LUO_2019_INH_CGE_MGE_CHST9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7699","slateblue3","0.00115309920626896","LUO_2019_INH_CGE_LAMP5_CLSTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7700","lightpink1","0.0012247990507675","LUO_2019_INH_CGE_LAMP5_FGFR2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7701","skyblue2","0.00013676003546735","LUO_2019_INH_CGE_LAMP5_PLD5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7702","floralwhite","0.00233742845628766","LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7703","magenta","0.000799400131080564","LUO_2019_INH_CGE_NDNF_IGSF3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7704","skyblue","0.000591997254722359","LUO_2019_INH_CGE_NDNF_LDB2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7705","floralwhite","0.000265694236422861","LUO_2019_INH_CGE_NDNF_NXPH1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7706","blueviolet","0.000509682749120641","LUO_2019_INH_CGE_NDNF_SCN5A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7707","honeydew1","0.00541642467485895","LUO_2019_INH_CGE_VIP_AFAP1L2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7708","midnightblue","0.000494137409902631","LUO_2019_INH_CGE_VIP_ASTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7709","khaki4","0.00137681202374172","LUO_2019_INH_CGE_VIP_DPP6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7710","paleturquoise4","0.00747447406539772","LUO_2019_INH_CGE_VIP_LINGO2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7711","seashell4","0.00220436172635406","LUO_2019_INH_CGE_VIP_MBP_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7712","skyblue","0.00128880122076847","LUO_2019_INH_CGE_VIP_NELL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7713","skyblue","0.00138272174354048","LUO_2019_INH_CGE_VIP_SORCS1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7714","blue","0.000726892031890878","LUO_2019_INH_CGE_VIP_SRGAP1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7715","turquoise","0.000334897663206709","LUO_2019_INH_MGE_B3GAT2_AOAH_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7716","slateblue","0.000345265705834497","LUO_2019_INH_MGE_B3GAT2_CHST11_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7717","paleturquoise4","0.000251674073243299","LUO_2019_INH_MGE_B3GAT2_IGSF21_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7718","tomato2","0.000736781252295889","LUO_2019_INH_MGE_B3GAT2_PCDH7_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7719","turquoise","0.00159922591344686","LUO_2019_INH_MGE_B3GAT2_PDE4B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7720","slateblue","0.000345265705834497","LUO_2019_INH_MGE_B3GAT2_STK32A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7721","floralwhite","0.00348067249016681","LUO_2019_INH_MGE_CALB1_HS3ST5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7722","deepskyblue","0.00422737120966154","LUO_2019_INH_MGE_CALB1_ME3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7723","slateblue","0.000345265705834497","LUO_2019_INH_MGE_CALB1_PCDH9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7724","firebrick","0.00355684568893034","LUO_2019_INH_MGE_PVALB_DISC1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7725","pink3","0.00146409296784386","LUO_2019_INH_MGE_PVALB_EPHB1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7726","turquoise","0.0023544256347877","LUO_2019_INH_MGE_PVALB_KIRREL_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7727","peru","0.00235704033196799","LUO_2019_INH_MGE_PVALB_SULF1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7728","yellow","0.00298223363095798","LUO_2019_INH_MGE_PVALB_UTRN_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7729","lightpink3","0.000840929160501686","LUO_2019_INH_MGE_UNC5B_CHRM3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7730","darkorchid4","0.000613204736260608","LUO_2019_INH_MGE_UNC5B_DCLK1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7753","tomato2","0.000127733858000292","JAKEL_2019_NEURON3"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7754","dodgerblue4","0.000108862652082042","JAKEL_2019_NEURON4"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7755","lightsteelblue","0.000208157135857089","JAKEL_2019_NEURON5"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET8689","aquamarine","0.000414236498595424","MONJE_UP_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize10_merge_ME_0.85_24326","TOPMODPOSBC","MOSET8690","mediumpurple3","0.00167384564979861","MONJE_DOWN_IN_GBM_FROM_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6733","darkseagreen2","0.00181007194624299","ZENG_HUMAN_INTERNEURON_MARKERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET6831","turquoise","0.000141001721362792","Raju_18GW_INTERNEURONS_SEED"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET6832","turquoise","0.000161186831020525","Raju_18GW_INTERNEURONS_BC"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7028","salmon4","0.00122819192478369","kelley_neuron"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7054","salmon4","0.000638432344044426","kelley_neuron.2"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7118","purple","0.000430528148094956","AGARWAL_SN_2020_GABA_NEURONS_DE_NEU_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7522","coral","0.000929248450666289","YANG_PFC_2021_L2_3_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7526","palevioletred","0.000159158690704732","YANG_PFC_2021_L4_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7527","coral4","0.000161840046317597","YANG_PFC_2021_VIP_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7528","coral4","0.000314932961163019","YANG_PFC_2021_PV_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7529","palevioletred","0.000678701532792145","YANG_PFC_2021_SST_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7530","darkolivegreen2","0.0004068901909524","YANG_PFC_2021_L5_6_CC_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7531","coral","0.00892656913817362","YANG_PFC_2021_L5_6_EXCITATORY_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7532","yellow","0.000281159873064249","YANG_PFC_2021_SV2C_INTERNEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7551","palevioletred","0.00345059910072678","YANG_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7597","turquoise","0.00179652616970958","GRUBMAN_2019_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7604","lightgreen","0.000835305153505789","ABSINTA_2021_NEURON"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7679","palevioletred","0.00010999689160879","LUO_2019_EXC_L1_3_CUX2_NYAP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7680","turquoise","0.00171284493929707","LUO_2019_EXC_L1_3_CUX2_SLC35F3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7681","turquoise","0.000307959478795239","LUO_2019_EXC_L2_4_RORB_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7682","turquoise","0.000828245108172093","LUO_2019_EXC_L4_5_FOXP2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7683","darkseagreen2","0.00109047155056341","LUO_2019_EXC_L4_5_TOX_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7684","turquoise","0.00102080888223142","LUO_2019_EXC_L4_6_LRRK1_ADAMTSL1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7685","coral","0.000918782647483047","LUO_2019_EXC_L4_6_LRRK1_MLLT3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7686","turquoise","0.00013625478305928","LUO_2019_EXC_L4_6_LRRK1_RXRG_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7687","turquoise","0.000213409147417101","LUO_2019_EXC_L4_PLCH1_ARHGAP15_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7688","palevioletred","0.00127695329408468","LUO_2019_EXC_L4_PLCH1_CUX2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7689","skyblue1","0.000350812499226907","LUO_2019_EXC_L5_6_PDZRN4_CUX1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7690","skyblue1","0.000231303609932788","LUO_2019_EXC_L5_6_PDZRN4_RGS6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7691","brown","0.00200736629726148","LUO_2019_EXC_L5_6_PDZRN4_WWC2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7692","navajowhite","0.000123888379613779","LUO_2019_EXC_L6_TLE4_CPNE4_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7693","navajowhite","0.000147165168619906","LUO_2019_EXC_L6_TLE4_LMO1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7694","palevioletred2","0.00409529263730885","LUO_2019_EXC_L6_TLE4_SCUBE1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7695","navajowhite","0.00125942759439789","LUO_2019_EXC_L6_TLE4_ZNF385B_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7696","deeppink","0.00025350883011941","LUO_2019_EXC_L6_TSHZ2_CALN1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7697","yellow","0.000567517072854346","LUO_2019_EXC_L6_TSHZ2_TCF12_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7698","magenta","0.00332569909117042","LUO_2019_INH_CGE_MGE_CHST9_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7699","purple","0.00462877475127598","LUO_2019_INH_CGE_LAMP5_CLSTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7700","purple","0.00410786216163467","LUO_2019_INH_CGE_LAMP5_FGFR2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7701","antiquewhite4","0.000341149600390859","LUO_2019_INH_CGE_LAMP5_PLD5_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7702","antiquewhite4","0.00380608965776078","LUO_2019_INH_CGE_NDNF_CPNE2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7703","magenta","0.000963378968611186","LUO_2019_INH_CGE_NDNF_IGSF3_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7704","skyblue","0.0028755791619463","LUO_2019_INH_CGE_NDNF_LDB2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7705","lightsteelblue1","0.000528092489005756","LUO_2019_INH_CGE_NDNF_NXPH1_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSFDR","MOSET7706","firebrick3","0.00627955423941176","LUO_2019_INH_CGE_NDNF_SCN5A_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7707","maroon","0.00111430298506292","LUO_2019_INH_CGE_VIP_AFAP1L2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7708","midnightblue","0.00125082390189393","LUO_2019_INH_CGE_VIP_ASTN2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7709","coral1","0.00263885952293573","LUO_2019_INH_CGE_VIP_DPP6_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7710","lightsteelblue1","0.00786041733857322","LUO_2019_INH_CGE_VIP_LINGO2_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7711","slateblue1","0.0141080615207573","LUO_2019_INH_CGE_VIP_MBP_DE_NEURON_CLUSTERS"
"CGGA RNA-seq 325 EXT OR QN OR B.1.1.1.1","Bicor-None_signum0.332_minSize12_merge_ME_0.85_24326","TOPMODPOSBC","MOSET7712","yellow","0.00326579797589676","LUO_2019_INH_CGE_VIP_NELL1_DE_NEURON_CLUSTERS"
